section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation detected in reference image,fixation x [px],fixation y [px]
291699f6-7b84-4853-b3ec-0d1d7289434a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,208,1636382490322801745,1636382490470785745,147,true,1114,464
291699f6-7b84-4853-b3ec-0d1d7289434a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,209,1636382490530781745,1636382490899018745,368,true,2286,667
291699f6-7b84-4853-b3ec-0d1d7289434a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,210,1636382490938707745,1636382491178710745,240,true,1916,461
291699f6-7b84-4853-b3ec-0d1d7289434a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,211,1636382491226803745,1636382492098912745,872,true,2470,1413
291699f6-7b84-4853-b3ec-0d1d7289434a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,212,1636382492126839745,1636382492542774745,415,true,2323,1281
291699f6-7b84-4853-b3ec-0d1d7289434a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,213,1636382492570798745,1636382492974797745,403,true,2484,1430
291699f6-7b84-4853-b3ec-0d1d7289434a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,214,1636382493026791745,1636382493178708745,151,true,2342,2189
291699f6-7b84-4853-b3ec-0d1d7289434a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,215,1636382493238843745,1636382493506891745,268,true,1024,2391
291699f6-7b84-4853-b3ec-0d1d7289434a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,216,1636382493546782745,1636382493962782745,416,true,1004,1899
291699f6-7b84-4853-b3ec-0d1d7289434a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,217,1636382494014864745,1636382494470839745,455,true,734,1159
291699f6-7b84-4853-b3ec-0d1d7289434a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,218,1636382494562868745,1636382495030850745,467,true,2346,2764
291699f6-7b84-4853-b3ec-0d1d7289434a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,219,1636382495070780745,1636382495406746745,335,true,1827,2848
291699f6-7b84-4853-b3ec-0d1d7289434a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,220,1636382495446778745,1636382495599061745,152,true,1871,2278
291699f6-7b84-4853-b3ec-0d1d7289434a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,221,1636382495662943745,1636382495839213745,176,true,2229,1396
291699f6-7b84-4853-b3ec-0d1d7289434a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,222,1636382495862911745,1636382496194795745,331,true,2275,1258
291699f6-7b84-4853-b3ec-0d1d7289434a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,223,1636382496218811745,1636382496482806745,263,true,2073,1306
291699f6-7b84-4853-b3ec-0d1d7289434a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,224,1636382496519021745,1636382497138744745,619,true,1723,1196
291699f6-7b84-4853-b3ec-0d1d7289434a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,225,1636382497158971745,1636382497586801745,427,true,1525,951
291699f6-7b84-4853-b3ec-0d1d7289434a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,226,1636382497630954745,1636382497882925745,251,true,1330,1683
291699f6-7b84-4853-b3ec-0d1d7289434a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,227,1636382497934795745,1636382498590812745,656,true,2321,1253
